full_address,name,zip_code,ave_rating,ave_review_count,num,NAME
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11208,1.5,7,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11209,3.5,8,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11215,2,26,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11217,1,3,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11223,3.5,19,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11225,3.5,16,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11228,2,17,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11357,1,1,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11372,3,15,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11378,4,2,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11435,5,1,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin Donuts & Baskin Robbins,11553,2.5,12,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',10016,1.5,17,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',10026,2.5,18,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',10034,3,1,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',10312,2,5,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',10456,3,7,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',10703,3,5,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',10704,3,6,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',11210,2,3,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',11369,1.5,6,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',11377,2,4,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',11385,2.5,10,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',11427,2.5,16,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',11434,3,4,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin',11596,3,17,1,DD
"1769 Arthurkill Rd, Staten Island, NY 10312,",Dunkin' Donuts / Baskin Robbins,11102,2.5,30,1,DD
"1775 Coney Island Ave, Brooklyn, NY 11230,",Dunkin',11230,2.5,3,1,DD
"1779 Southern Blvd, Bronx, NY 10460,",Dunkin',10460,3.5,2,1,DD
"1834 College Point Blvd, College Point, NY 11356,",Dunkin',11356,3.5,10,1,DD
"1880 3rd Ave, New York, NY 10029,",Dunkin',10029,3.5,3,1,DD
"18823 Union Tpke, Fresh Meadows, NY 11366,",Dunkin',10707,1.5,24,1,DD
"19 Rector St, New York, NY 10006,",Dunkin',10006,3,37,1,DD
"1903 Kings Hwy, Brooklyn, NY 11229,",Dunkin',11229,2,17,1,DD
"194 Merritts Rd, Farmingdale, NY 11735,",Dunkin',11735,5,1,1,DD
"1955A Victory Blvd, Staten Island, NY 10314,",Dunkin',10314,3.5,3,1,DD
"1993 Atlantic Ave, Brooklyn, NY 11233,",Dunkin',11233,3,10,1,DD
"1995 Amsterdam Ave, New York, NY 10032,",Dunkin',10032,2.5,4,1,DD
"2 Penn Plz, New York, NY 10121,",Dunkin',10121,1.5,24,1,DD
"200 E 89th St, New York, NY 10128,",Dunkin',10128,2.5,27,1,DD
"200 W 54th St, New York, NY 10019,",Dunkin',10019,3.5,21,1,DD
"202-09 Hillside Ave, Hollis, NY 11423,",Dunkin',11423,2,21,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin Donuts & Baskin Robbins,10029,2.5,3,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin Donuts/Baskin Robbins,11371,2.5,2,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',10001,2.5,28,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',10007,2.5,34,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',10018,2.5,45,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',10027,4.5,4,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',10075,3.5,3,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',10705,2,1,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11021,2.5,17,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11105,2.5,41,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11212,3,14,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11230,2.5,7,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11232,2,24,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11356,3,27,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11358,2,13,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11368,3,13,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11373,1.5,26,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11379,2.5,17,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11385,2.5,16,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11421,1.5,16,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11530,2,6,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin',11753,2,17,1,DD
"208 E 14th St, New York, NY 10003,",Dunkin' Donuts,11369,2.5,30,1,DD
"2083 Lexington Ave, New York, NY 10035,",Dunkin',10035,2.5,7,1,DD
"2103 Frederick Douglass Blvd, New York, NY 10026,",Dunkin',10026,2.5,17,1,DD
"21295 26th Ave, Bayside, NY 11360,",Dunkin',11360,2,13,1,DD
"2141 Williamsbridge Rd, Bronx, NY 10461,",Dunkin',10461,1.5,5,1,DD
"2148 White Plains Rd, Bronx, NY 10462,",Dunkin',10462,3.5,12,1,DD
"21522 73rd Ave, Bayside, NY 11364,",Dunkin',11364,2.5,34,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10305,3,11,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10452,2.5,3,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10462,2,4,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10463,1,1,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10466,2,6,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10467,2,4,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',10710,2,13,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',11003,2,14,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',11023,2.5,11,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',11368,2.5,15,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',11428,1.5,9,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',11530,2.5,10,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',11550,5,4,1,DD
"21920 Northern Blvd, Bayside, NY 11361,",Dunkin',11361,3,89,1,DD
"2200 White Plains Rd, Bronx, NY 10467,",Dunkin',10502,1.5,2,1,DD
"2200 White Plains Rd, Bronx, NY 10467,",Dunkin',10605,2,21,1,DD
"2200 White Plains Rd, Bronx, NY 10467,",Dunkin',11710,2.5,16,1,DD
"2200 White Plains Rd, Bronx, NY 10467,",Dunkin',11758,3.5,7,1,DD
"2200-2214 Bath Ave, New York, NY 11214,",Dunkin Donut,11214,1.5,8,1,DD
"2222 Forest Ave, Staten Island, NY 10303,",Dunkin',10303,1,13,1,DD
"2248 Central Park Ave, Yonkers, NY 10710,",Dunkin',10710,3,14,1,DD
"2258 1st Ave, New York, NY 10035,",Dunkin',10035,2.5,4,1,DD
"226 Elizabeth Ave, Newark, NJ 07108,",Dunkin',11783,3.5,19,1,DD
"226 Elizabeth Ave, Newark, NJ 07108,",Dunkin',11803,3,24,1,DD
"2275-2375 Richmond Avenue, Staten Island, NY 10314,",Dunkin',10314,3,9,1,DD
"234 Thompson St, New York, NY 10012,",Dunkin',10012,2,26,1,DD
"2340 Bell Blvd, Queens, NY 11360,",Dunkin' Donuts,11360,2,7,1,DD
