ZIPCODE,TotalPop,Men,Women,Hisp_tot,White_tot,Black_tot,Nat_tot,Asian_tot,Pov_tot,Unemployment_tot,Men_pct,Hispanic_pct,White_pct,Black_pct,Native_pct,Asian_pct,Poverty_pct,Unemployment_pct
10115,5069,1677,3392,395,3457,385,0,740,198,259,33.08344841191557,7.7924639968435585,68.19885579009667,7.595186427303216,0,14.5985401459854,3.9060958768987963,5.109489051094891
10116,1841,1071,770,75,1121,142,18,409,155,70,58.174904942965775,4.073872895165671,60.89082020640956,7.713199348180337,0.9777294948397609,22.216186854970125,8.419337316675719,3.802281368821293
10118,1912,843,1069,54,876,50,8,891,356,67,44.08995815899582,2.8242677824267783,45.81589958158996,2.615062761506276,0.41841004184100417,46.60041841004184,18.619246861924683,3.50418410041841
10119,7374,3588,3786,238,5483,151,116,1225,645,335,48.65744507729862,3.2275562788174663,74.35584486032005,2.047735286140494,1.5730946569026307,16.612422023325195,8.746948738812042,4.5429888798481155
10120,1259,758,501,73,658,59,0,436,144,72,60.206513105639395,5.798252581413821,52.263701350278005,4.686258935663225,0,34.6306592533757,11.437648927720414,5.718824463860207
10121,11714,6184,5530,641,9383,170,116,1203,697,498,52.79153150076831,5.472084684992317,80.10073416424791,1.4512549086563087,0.9902680553184224,10.269762677138466,5.950145125490866,4.251323203004952
10122,186,73,113,2,108,19,0,51,31,8,39.247311827956985,1.0752688172043012,58.06451612903226,10.21505376344086,0,27.419354838709676,16.666666666666664,4.301075268817205
10123,186,73,113,2,108,19,0,51,31,8,39.247311827956985,1.0752688172043012,58.06451612903226,10.21505376344086,0,27.419354838709676,16.666666666666664,4.301075268817205
10128,75267,32769,42498,8658,53812,3015,0,7449,5651,3312,43.53700825062777,11.503049145043645,71.49481180331354,4.005739567140979,0,9.896767507672685,7.507938405941515,4.400334808083223
10129,3035,1808,1227,713,1229,300,0,698,571,234,59.57166392092257,23.492586490939043,40.494233937397034,9.884678747940692,0,22.99835255354201,18.813838550247116,7.71004942339374
10150,9116,3862,5254,510,7256,173,0,1130,346,365,42.365072400175514,5.594559017112768,79.59631417288284,1.897762176393155,0,12.39578762615182,3.79552435278631,4.003949100482668
10151,287,143,144,4,266,0,0,17,13,0,49.825783972125436,1.3937282229965158,92.6829268292683,0,0,5.923344947735192,4.529616724738676,0
10152,1683,744,939,229,1249,22,7,126,143,61,44.20677361853833,13.606654783125371,74.21271538918597,1.3071895424836601,0.41592394533571003,7.4866310160427805,8.49673202614379,3.6244800950683302
