full_address,name,zip_code,borough,ave_rating,ave_review_count,num,NAME
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11203,Brooklyn,3,1,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11207,Brooklyn,2,8,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11211,Brooklyn,3.5,9,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11223,Brooklyn,2.5,9,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11230,Brooklyn,2.5,7,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11358,Brooklyn,3,16,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11369,Brooklyn,2,7,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11375,Brooklyn,2.5,42,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11418,Brooklyn,1.5,24,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11420,Brooklyn,4,6,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11432,Brooklyn,3,16,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11561,Brooklyn,1.5,25,1,DD
"164 Northern Blvd, Great Neck, NY 11021,",Dunkin',11021,Brooklyn,2,1,1,DD
"168 W 48th St, New York, NY 10036,",Dunkin',10036,Brooklyn,2.5,14,1,DD
"168 W 48th St, New York, NY 10036,",Dunkin',10453,Bronx,2.5,8,1,DD
"168 W 48th St, New York, NY 10036,",Dunkin',10460,Bronx,2,5,1,DD
"1680 Grand Ave, Baldwin, NY 11510,",Dunkin',11510,Brooklyn,2,15,1,DD
"16822 Union Tpke, Flushing, NY 11366,",Dunkin',11366,Brooklyn,2,48,1,DD
"1700 Church Ave, Brooklyn, NY 11226,",Dunkin',11226,Brooklyn,1.5,11,1,DD
"1700 Church Ave, Brooklyn, NY 11226,",Dunkin',11783,Queens,3.5,19,1,DD
"1703 3rd Ave, New York, NY 10128,",Dunkin',10128,Brooklyn,2.5,20,1,DD
"172 Water Street, New York, NY 10038,",Dunkin',10038,Brooklyn,5,1,1,DD
"1720 Atlantic Ave, Brooklyn, NY 11213,",Dunkin',11213,Brooklyn,1.5,10,1,DD
"1779 Southern Blvd, Bronx, NY 10460,",Dunkin',10463,Bronx,4,12,1,DD
"1779 Southern Blvd, Bronx, NY 10460,",Dunkin',10573,Bronx,2.5,14,1,DD
"1791 Westchester Ave, Bronx, NY 10472,",Dunkin',10472,Bronx,2,9,1,DD
"17915 Hillside Ave, Jamaica, NY 11432,",Dunkin',11432,Brooklyn,2,14,1,DD
"1805 Webster Ave, Bronx, NY 10457,",Dunkin',10457,Brooklyn,1,1,1,DD
"18711 Jamaica Ave, Jamaica, NY 11423,",Dunkin',11423,Brooklyn,2,15,1,DD
"18905 Linden Blvd, Saint Albans, NY 11412,",Dunkin',11412,Brooklyn,1.5,3,1,DD
"19 Rector St, New York, NY 10006,",Dunkin',10006,Brooklyn,3,37,1,DD
"191 Mineola Ave, Roslyn Heights, NY 11577,",Dunkin',11577,Brooklyn,2.5,18,1,DD
"193 W 237th St, Bronx, NY 10463,",Dunkin',10463,Brooklyn,1,1,1,DD
"1993 Atlantic Ave, Brooklyn, NY 11233,",Dunkin',11233,Brooklyn,3,10,1,DD
"1995 Amsterdam Ave, New York, NY 10032,",Dunkin',10032,Brooklyn,2.5,4,1,DD
"2 Cortlandt St, Ste, New York, NY 10007,",Dunkin',10007,Brooklyn,3,23,1,DD
"20 Broad St, New York, NY 10005,",Dunkin' Donuts,10005,Brooklyn,3.5,4,1,DD
"20 Meadowlands Pky, Ste 1, Secaucus, NJ 07094,",Dunkin',11416,Queens,3,17,1,DD
"20 Meadowlands Pky, Ste 1, Secaucus, NJ 07094,",Dunkin',11714,Queens,2.5,22,1,DD
"20 Meadowlands Pky, Ste 1, Secaucus, NJ 07094,",Dunkin',11804,Queens,2.5,9,1,DD
"200 Broadway, Mezzanine Level, New York, NY 10038,",Dunkin',10038,Brooklyn,2.5,15,1,DD
"200 W 54th St, New York, NY 10019,",Dunkin',10019,Brooklyn,3.5,21,1,DD
"201 Madison St, New York, NY 10002,",Dunkin',10002,Brooklyn,2.5,12,1,DD
"2062 Lakeville Rd, New Hyde Park, NY 11040,",Dunkin',11040,Brooklyn,3,20,1,DD
"210 E 23rd St, New York, NY 10010,",Dunkin',11434,Manhattan,1,9,1,DD
"210 W 38th St, New York, NY 10018,",Dunkin',10018,Brooklyn,3,2,1,DD
"2141 Williamsbridge Rd, Bronx, NY 10461,",Dunkin',10461,Bronx,1.5,5,1,DD
"2156 Tilden Ave, Flatbush - Ditmas Park, NY 11226,",Dunkin Dounuts,11226,Brooklyn,3,1,1,DD
"219 Hempstead Tpke, Elmont, NY 11003,",Dunkin',11003,Brooklyn,2,14,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin Donuts,11435,Brooklyn,3.5,7,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',10306,Brooklyn,3,7,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',10308,Brooklyn,1.5,24,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',10451,Brooklyn,2.5,9,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',10454,Brooklyn,2.5,12,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',10457,Brooklyn,2.5,13,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',10467,Brooklyn,3,4,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',10801,Brooklyn,3,9,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11210,Brooklyn,2,3,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11354,Brooklyn,2,15,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11356,Brooklyn,2,1,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11413,Brooklyn,3,6,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11417,Brooklyn,2.5,18,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11419,Brooklyn,2,1,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11510,Brooklyn,2,13,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11530,Brooklyn,3,18,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11554,Brooklyn,2.5,9,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin',11580,Brooklyn,1.5,38,1,DD
"21911 N Conduit Ave, Jamaica, NY 11413,",Dunkin' Donuts,10003,Brooklyn,1.5,25,1,DD
"221 E Hartsdale Ave, Hartsdale, NY 10530,",Dunkin',10530,Queens,3,5,1,DD
"222 Bergen Blvd, Ste 6, Fairview, NJ 07022,",Dunkin',10704,Bronx,1.5,7,1,DD
